Sales_Year,Sales_Month,Revenue
2021,1,35.64
2021,2,37.62
2021,3,37.62
2021,4,37.62
2021,5,37.62
2021,6,37.62
2021,7,37.62
2021,8,37.62
2021,9,37.62
2021,10,37.62
2021,11,37.62
2021,12,37.62
2022,1,52.62
2022,2,46.62
2022,3,44.62
2022,4,37.62
2022,5,37.62
2022,6,37.62
2022,7,37.62
2022,8,37.62
2022,9,36.63
2022,10,37.62
2022,11,37.62
2022,12,37.62
2023,1,37.62
2023,2,37.62
2023,3,37.62
2023,4,51.62
2023,5,42.62
2023,6,50.62
2023,7,37.62
2023,8,37.62
2023,9,37.62
2023,10,37.62
2023,11,23.76
2023,12,37.62
2024,1,37.62
2024,2,37.62
2024,3,37.62
2024,4,37.62
2024,5,37.62
2024,6,37.62
2024,7,39.62
2024,8,47.62
2024,9,46.71
2024,10,42.62
2024,11,37.62
2024,12,37.62
2025,1,37.62
2025,2,27.72
2025,3,37.62
2025,4,33.66
2025,5,37.62
2025,6,37.62
2025,7,37.62
2025,8,37.62
2025,9,37.62
2025,10,37.62
2025,11,49.62
2025,12,38.62
