Product_Name,Revenue,Revenue_Rank
"How to Stop an Exploding Man",3.98,1
Walkabout,3.98,1
"The Woman King",3.98,1
"Phyllis's Wedding",3.98,1
"The Fix",3.98,1
"Hot Girl",3.98,1
Pilot,3.98,1
"Gay Witch Hunt",3.98,1
"Ji Yeon",1.99,9
Adrift,1.99,9
"The Carpet",1.99,9
Hero,1.99,9
"Baltar's Escape",1.99,9
"Par Avion",1.99,9
"The Beginning of the End",1.99,9
Parasite,1.99,9
"Email Surveillance",1.99,9
"Greetings from Earth, Pt. 1",1.99,9
"Enter 77",1.99,9
"Safety Training",1.99,9
Distractions,1.99,9
"Exodus (Part 2) [Season Finale]",1.99,9
"The Dundies",1.99,9
"The Living Legend, Pt. 2",1.99,9
"Stranger In a Strange Land",1.99,9
"Producer's Cut: The Return",1.99,9
"Seven Minutes to Midnight",1.99,9
"Born to Run",1.99,9
"Diversity Day",1.99,9
"The Magnificent Warriors",1.99,9
"Lost Survival Guide",1.99,9
"A Benihana Christmas, Pts. 1 & 2",1.99,9
"Better Halves",1.99,9
S.O.S.,1.99,9
"The Hard Part",1.99,9
Collaborators,1.99,9
"The Gun On Ice Planet Zero, Pt. 1",1.99,9
"The Moth",1.99,9
"Branch Closing",1.99,9
Genesis,1.99,9
Dave,1.99,9
"Something Nice Back Home",1.99,9
"Exodus, Pt. 1",1.99,9
"The Lost Warrior",1.99,9
"House of the Rising Sun",1.99,9
"The Initiation",1.99,9
"Crossroads, Pt. 1",1.99,9
"Through the Looking Glass, Pt. 1",1.99,9
"The Whole Truth",1.99,9
"Lost Planet of the Gods, Pt. 1",1.99,9
"The Convention",1.99,9
"The Hand of God",1.99,9
Homecoming,1.99,9
"Meet Kevin Johnson",1.99,9
"Battlestar Galactica, Pt. 1",1.99,9
"The Glass Ballerina",1.99,9
"Michael's Birthday",1.99,9
"Unfinished Business",1.99,9
"Experiment In Terra",1.99,9
"The Long Con",1.99,9
"The Economist",1.99,9
"Through a Looking Glass",1.99,9
"Man of Science, Man of Faith (Premiere)",1.99,9
"Christmas Party",1.99,9
"Greetings from Earth, Pt. 2",1.99,9
"Fire + Water",1.99,9
"Past, Present, and Future",1.99,9
"The Job",1.99,9
"Company Man",1.99,9
Halloween,1.99,9
"War of the Gods, Pt. 2",1.99,9
"The 23rd Psalm",1.99,9
"Branch Closing",1.99,9
"Live Together, Die Alone, Pt. 1",1.99,9
"The Living Legend, Pt. 1",1.99,9
Solitary,1.99,9
"Back from Vacation",1.99,9
"Nothing to Hide",1.99,9
""?"",1.99,9
"The Man Behind the Curtain",1.99,9
"The Gun On Ice Planet Zero, Pt. 2",1.99,9
"The Other 48 Days",1.99,9
"The Convict",1.99,9
"One Giant Leap",1.99,9
"Deus Ex Machina",1.99,9
"There's No Place Like Home, Pt. 3",1.99,9
"Exodus, Pt. 2",1.99,9
"The Long Patrol",1.99,9
"I Do",1.99,9
Diwali,1.99,9
"Crossroads, Pt. 2",1.99,9
Catch-22,1.99,9
"Occupation / Precipice",1.99,9
"Lost Planet of the Gods, Pt. 2",1.99,9
"...And Found",1.99,9
"The Coup",1.99,9
"A Day In the Life",1.99,9
Outlaws,1.99,9
"Battlestar Galactica, Pt. 2",1.99,9
Orientation,1.99,9
"The Passage",1.99,9
"Take the Celestra",1.99,9
Exposé,1.99,9
"Não Quero Dinheiro",1.98,104
"Blood Brothers",1.98,104
Snowblind,1.98,104
"Rock And Roll All Nite",1.98,104
"The Aftermath",1.98,104
"Down by the Sea",1.98,104
"Stir It Up (Live)",1.98,104
Meditação,1.98,104
"Red Light",1.98,104
"Whatever It Is, I Just Can't Stop",1.98,104
"Tempo Perdido",1.98,104
"Meu Erro",1.98,104
Undertow,1.98,104
"The Midnight Special",1.98,104
"Esporrei Na Manivela",1.98,104
"She Loves Me Not",1.98,104
"Where Eagles Dare",1.98,104
"Calling Dr. Love",1.98,104
"Nebulosa Do Amor",1.98,104
"Times Like These",1.98,104
Overdose,1.98,104
"Sangue Latino",1.98,104
"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",1.98,104
"For Your Life",1.98,104
"Falamansa Song",1.98,104
"O Pulso",1.98,104
"Walter's Walk",1.98,104
"The Star Spangled Banner",1.98,104
"Beira Mar",1.98,104
"Living Loving Maid (She's Just A Woman)",1.98,104
"Drum Boogie",1.98,104
"Run Silent Run Deep",1.98,104
Question!,1.98,104
"J Squared",1.98,104
"For Whom The Bell Tolls",1.98,104
"Sure Know Something",1.98,104
"Scheherazade, Op. 35: I. The Sea and Sindbad's Ship",1.98,104
"Can I Play With Madness",1.98,104
"Country Feedback",1.98,104
"Phantom Lord",1.98,104
"Geni E O Zepelim",1.98,104
"Rappers Reais",1.98,104
"L'Arc En Ciel De Miles",1.98,104
Untitled,1.98,104
